time,body1,body2,numContacts,cpx_avg,cpy_avg,cpz_avg,cnx_avg,cny_avg,cnz_avg,fx_avg,fy_avg,fz_avg,mx_avg,my_avg,mz_avg
3.25,Terrain0,hrp2[LLEG_JOINT5],10,0.253649536555,0.142435960945,-4.23951501468e-05,2.36680549966e-15,0.0,-1.0,-91.6126220578,-26.8548354842,211.58537876,-0.000194528982539,-0.00140695858007,-4.23350063792
3.27,Terrain0,hrp2[RLEG_JOINT5],11,-0.281447040897,-0.0830990920469,-0.000158628127221,5.5285961479e-15,-1.34479356341e-15,-1.0,89.619980703,26.4915888638,332.146953193,-0.00424953920458,-0.000228094821551,-3.57509994089
3.27,Terrain0,hrp2[LLEG_JOINT5],10,0.253713200741,0.142435960992,-4.02491336635e-05,2.24674420657e-15,2.84017848484e-16,-1.0,-89.2741085196,-26.985461487,211.402913353,-0.00023538928315,-0.00117704716661,-3.98180849304
3.29,Terrain0,hrp2[RLEG_JOINT5],11,-0.261489254463,-0.0878115199547,-0.000248695590922,-2.9125353506e-15,-5.1142895799e-16,-1.0,92.0584480985,22.4691721181,344.24670422,-0.00827127596242,0.0018544663541,-4.99798400458
3.29,Terrain0,hrp2[LLEG_JOINT5],10,0.210680696792,0.127786644107,-4.00878828469e-05,2.91360543297e-15,1.40106096199e-15,-1.0,-98.0102603449,-18.9468442302,218.475123001,-0.000808065319439,-0.00223482087519,-4.68462821077
3.31,Terrain0,hrp2[RLEG_JOINT5],11,-0.220461113272,-0.0681291051889,-0.000256053258742,3.49677557602e-16,5.25951081989e-16,-1.0,90.2624026631,24.2726421922,337.021896129,-0.00676913309214,0.00222979389938,-4.16082645107
3.31,Terrain0,hrp2[LLEG_JOINT5],10,0.254930405838,0.128707022149,-5.67294983461e-05,3.51280367271e-15,-5.6571440098e-16,-1.0,-96.6779031498,-23.4403283666,217.711298003,-0.000254034935407,-0.0017698718732,-4.58375257961
3.33,Terrain0,hrp2[RLEG_JOINT5],11,-0.241132966669,-0.0892685916399,-0.00023353049674,-2.07964102287e-15,1.04704867043e-15,-1.0,90.7006074348,27.3064706439,343.601817361,-0.00664133499131,0.00208249879635,-3.57651724812
3.33,Terrain0,hrp2[LLEG_JOINT5],10,0.233361755466,0.124287411687,-4.84509957433e-05,-4.15765608053e-15,0.0,-1.0,-81.6635662891,-24.6383353704,206.211723596,-0.000617226919321,-0.000680876721479,-3.8990757243
3.35,Terrain0,hrp2[RLEG_JOINT5],11,-0.261531729774,-0.0822712364766,-0.000211449862506,1.54463028386e-15,1.14113464315e-15,-1.0,89.3515226914,26.8260879983,338.06146934,-0.00434261654858,0.00195594244259,-3.33239666263
